Order_Date,Ship_Date,Region,Category,Products,Sales,Quantity,Revenue,Profit,Products1,total_sales1,Region1,total_profit1,Year,Products_loss,Loss
1/19/2014,1/20/2014,West,Office Supplies,Paper,56.064,4,224.256,19.6224,,,,,,,
1/19/2014,1/20/2014,West,Office Supplies,Envelopes,108.72,5,543.6,36.693,,,,,,,
1/19/2014,1/20/2014,West,Furniture,Bookcases,181.47,5,907.35,-320.597,,,,,,,
1/20/2014,1/25/2014,West,Office Supplies,Paper,19.36,2,38.72,9.2928,,,,,,,
1/20/2014,1/25/2014,West,Furniture,Furnishings,19.3,2,38.6,5.79,,,,,,,
1/20/2014,1/26/2014,South,Technology,Phones,699.93,7,4899.51,181.9818,,,,,,,
1/20/2014,1/26/2014,South,Office Supplies,Art,22.96,7,160.72,6.6584,,,,,,,
1/20/2014,1/26/2014,South,Furniture,Furnishings,38.6,4,154.4,11.58,,,,,,,
1/20/2014,1/26/2014,South,Office Supplies,Art,6.63,3,19.89,1.7901,,,,,,,
1/20/2014,1/26/2014,South,Office Supplies,Envelopes,23.34,3,70.02,10.9698,,,,,,,
1/20/2014,1/26/2014,South,Furniture,Chairs,1067.94,3,3203.82,224.2674,,,,,,,
1/20/2014,1/26/2014,Central,Office Supplies,Storage,13.98,1,13.98,4.0542,,,,,,,
1/20/2014,1/26/2014,Central,Furniture,Furnishings,272.94,3,818.82,30.0234,,,,,,,
1/20/2014,1/26/2014,Central,Office Supplies,Binders,19.05,5,95.25,8.9535,,,,,,,
1/20/2014,1/26/2014,Central,Office Supplies,Appliances,247.716,4,990.864,93.5816,,,,,,,
1/20/2014,1/26/2014,Central,Office Supplies,Storage,66.58,2,133.16,15.9792,,,,,,,
1/20/2014,1/26/2014,Central,Office Supplies,Art,43.92,3,131.76,12.7368,,,,,,,
1/20/2014,1/26/2014,Central,Furniture,Furnishings,14.73,3,44.19,4.8609,,,,,,,
1/20/2014,1/26/2014,Central,Office Supplies,Binders,29.7,5,148.5,13.365,,,,,,,
1/20/2014,1/26/2014,South,Office Supplies,Binders,67.194,1,67.194,-51.5154,,,,,,,
1/21/2014,1/23/2014,South,Furniture,Furnishings,25.248,3,75.744,4.1028,,,,,,,
1/23/2014,1/27/2014,Central,Office Supplies,Fasteners,5.94,3,17.82,0,,,,,,,
1/23/2014,1/28/2014,West,Office Supplies,Paper,40.08,6,240.48,19.2384,,,,,,,
1/26/2014,1/29/2014,Central,Office Supplies,Binders,10.68,2,21.36,5.0196,,,,,,,
1/26/2014,1/29/2014,Central,Furniture,Bookcases,141.96,2,283.92,39.7488,,,,,,,
1/26/2014,1/31/2014,South,Furniture,Furnishings,62.82,3,188.46,30.7818,,,,,,,
1/26/2014,1/31/2014,South,Office Supplies,Storage,489.92,8,3919.36,0,,,,,,,
1/26/2014,1/31/2014,South,Office Supplies,Paper,19.44,3,58.32,9.3312,,,,,,,
1/26/2014,1/31/2014,South,Office Supplies,Paper,16.68,2,33.36,8.34,,,,,,,
1/26/2014,1/31/2014,South,Technology,Phones,155.35,13,2019.55,0,,,,,,,
1/26/2014,1/31/2014,South,Furniture,Furnishings,12.42,3,37.26,4.4712,,,,,,,
1/26/2014,1/31/2014,South,Technology,Phones,187.98,2,375.96,52.6344,,,,,,,
1/27/2014,2/2/2014,West,Office Supplies,Storage,57.23,1,57.23,14.3075,,,,,,,
1/27/2014,2/2/2014,West,Furniture,Tables,333,3,999,-16.65,,,,,,,
1/27/2014,2/2/2014,West,Office Supplies,Art,36.44,4,145.76,12.0252,,,,,,,
1/28/2014,2/3/2014,East,Office Supplies,Binders,3.928,1,3.928,1.3257,,,,,,,
1/30/2014,2/4/2014,Central,Office Supplies,Paper,10.56,2,21.12,4.752,,,,,,,
1/30/2014,2/4/2014,Central,Office Supplies,Storage,229.94,2,459.88,6.8982,,,,,,,
1/31/2014,2/2/2014,West,Furniture,Bookcases,290.666,2,581.332,3.4196,,,,,,,
2/1/2014,2/3/2014,Central,Technology,Accessories,468.9,6,2813.4,206.316,,,,,,,
2/2/2014,2/6/2014,West,Office Supplies,Fasteners,12.35,5,61.75,5.8045,,,,,,,
2/2/2014,2/9/2014,South,Office Supplies,Binders,18.336,2,36.672,-12.224,,,,,,,
2/2/2014,2/9/2014,South,Technology,Phones,180.96,5,904.8,13.572,,,,,,,
2/3/2014,2/6/2014,West,Office Supplies,Binders,83.84,2,167.68,27.248,,,,,,,
2/3/2014,2/6/2014,West,Office Supplies,Binders,13.272,3,39.816,4.3134,,,,,,,
2/4/2014,2/8/2014,West,Office Supplies,Binders,82.896,3,248.688,29.0136,,,,,,,
2/4/2014,2/8/2014,West,Office Supplies,Paper,34.24,4,136.96,16.0928,,,,,,,
2/4/2014,2/8/2014,West,Office Supplies,Binders,17.248,2,34.496,6.0368,,,,,,,
2/6/2014,2/9/2014,South,Office Supplies,Labels,15,4,60,7.2,,,,,,,
2/6/2014,2/9/2014,South,Technology,Phones,161.61,1,161.61,42.0186,,,,,,,
2/6/2014,2/9/2014,South,Technology,Phones,144.95,5,724.75,42.0355,,,,,,,
2/6/2014,2/10/2014,Central,Office Supplies,Binders,8.952,2,17.904,-14.7708,,,,,,,
2/7/2014,2/10/2014,East,Office Supplies,Storage,64.96,4,259.84,9.744,,,,,,,
2/7/2014,2/12/2014,East,Technology,Accessories,115.36,7,807.52,49.6048,,,,,,,
2/8/2014,2/9/2014,West,Furniture,Furnishings,14.56,2,29.12,5.5328,,,,,,,
2/11/2014,2/15/2014,South,Technology,Accessories,234.45,3,703.35,103.158,,,,,,,
2/11/2014,2/15/2014,South,Furniture,Tables,1256.22,6,7537.32,75.3732,,,,,,,
2/11/2014,2/15/2014,South,Office Supplies,Binders,17.46,2,34.92,8.2062,,,,,,,
2/11/2014,2/15/2014,Central,Furniture,Chairs,60.89,1,60.89,15.2225,,,,,,,
2/11/2014,2/15/2014,Central,Office Supplies,Labels,14.94,3,44.82,6.8724,,,,,,,
2/11/2014,2/15/2014,Central,Office Supplies,Binders,9.64,2,19.28,4.4344,,,,,,,
2/11/2014,2/15/2014,Central,Furniture,Furnishings,332.94,3,998.82,53.2704,,,,,,,
2/11/2014,2/15/2014,Central,Office Supplies,Binders,51.9,3,155.7,24.393,,,,,,,
2/11/2014,2/15/2014,Central,Office Supplies,Storage,64.96,2,129.92,2.5984,,,,,,,
2/12/2014,2/18/2014,West,Furniture,Chairs,129.568,2,259.136,-24.294,,,,,,,
2/14/2014,2/18/2014,West,Technology,Accessories,239.97,3,719.91,86.3892,,,,,,,
2/14/2014,2/18/2014,West,Office Supplies,Appliances,81.96,2,163.92,22.9488,,,,,,,
2/14/2014,2/18/2014,West,Office Supplies,Supplies,238.62,2,477.24,4.7724,,,,,,,
2/14/2014,2/19/2014,Central,Office Supplies,Paper,16.176,3,48.528,6.066,,,,,,,
2/15/2014,2/19/2014,West,Office Supplies,Binders,21.36,5,106.8,7.209,,,,,,,
2/16/2014,2/21/2014,Central,Office Supplies,Binders,1.08,3,3.24,-1.728,,,,,,,
2/16/2014,2/21/2014,Central,Office Supplies,Appliances,7.96,2,15.92,-13.93,,,,,,,
2/17/2014,2/24/2014,Central,Office Supplies,Art,54.208,14,758.912,8.8088,,,,,,,
2/18/2014,2/18/2014,Central,Furniture,Furnishings,25.16,5,125.8,-11.322,,,,,,,
2/18/2014,2/24/2014,Central,Office Supplies,Storage,12.624,2,25.248,-2.5248,,,,,,,
2/20/2014,2/24/2014,West,Office Supplies,Paper,12.96,2,25.92,6.2208,,,,,,,
2/20/2014,2/26/2014,Central,Technology,Accessories,62.31,3,186.93,22.4316,,,,,,,
2/20/2014,2/26/2014,Central,Furniture,Furnishings,20.32,4,81.28,6.9088,,,,,,,
2/21/2014,2/25/2014,Central,Office Supplies,Binders,8.85,5,44.25,-13.7175,,,,,,,
2/22/2014,2/24/2014,West,Office Supplies,Paper,19.44,3,58.32,9.3312,,,,,,,
2/23/2014,2/27/2014,Central,Office Supplies,Labels,6.936,3,20.808,2.3409,,,,,,,
2/23/2014,2/27/2014,Central,Office Supplies,Binders,4.428,3,13.284,-6.8634,,,,,,,
2/24/2014,3/2/2014,West,Office Supplies,Paper,32.896,4,131.584,11.1024,,,,,,,
2/24/2014,3/2/2014,West,Office Supplies,Paper,22.776,3,68.328,7.6869,,,,,,,
2/27/2014,3/3/2014,East,Office Supplies,Art,19.456,4,77.824,3.4048,,,,,,,
3/1/2014,3/5/2014,East,Technology,Phones,5.94,3,17.82,1.6038,,,,,,,
3/1/2014,3/5/2014,Central,Furniture,Chairs,634.116,6,3804.696,-172.1172,,,,,,,
3/1/2014,3/5/2014,Central,Office Supplies,Paper,17.472,3,52.416,5.6784,,,,,,,
3/1/2014,3/5/2014,Central,Office Supplies,Fasteners,18.84,5,94.2,-3.5325,,,,,,,
3/1/2014,3/5/2014,Central,Furniture,Chairs,362.25,6,2173.5,0,,,,,,,
3/1/2014,3/5/2014,Central,Furniture,Furnishings,63.552,6,381.312,-34.9536,,,,,,,
3/1/2014,3/5/2014,Central,Office Supplies,Storage,129.552,3,388.656,-22.6716,,,,,,,
3/1/2014,3/6/2014,West,Furniture,Chairs,457.568,2,915.136,51.4764,,,,,,,
3/1/2014,3/7/2014,Central,Office Supplies,Storage,137.352,3,412.056,8.5845,,,,,,,
3/1/2014,3/7/2014,Central,Furniture,Tables,376.509,3,1129.527,-43.0296,,,,,,,
3/2/2014,3/6/2014,East,Office Supplies,Paper,3.424,1,3.424,1.07,,,,,,,
3/2/2014,3/6/2014,East,Technology,Accessories,151.2,3,453.6,32.13,,,,,,,
3/2/2014,3/8/2014,East,Office Supplies,Envelopes,11.36,2,22.72,5.3392,,,,,,,
3/2/2014,3/8/2014,East,Office Supplies,Paper,36.4,5,182,17.472,,,,,,,
3/3/2014,3/7/2014,South,Office Supplies,Art,19.456,4,77.824,3.4048,,,,,,,
3/3/2014,3/7/2014,Central,Office Supplies,Appliances,176.772,3,530.316,-459.6072,,,,,,,
3/3/2014,3/7/2014,West,Furniture,Tables,626.352,3,1879.056,-23.4882,,,,,,,
3/3/2014,3/8/2014,East,Technology,Phones,9.99,1,9.99,4.5954,,,,,,,
3/3/2014,3/8/2014,East,Office Supplies,Binders,125.76,3,377.28,40.872,,,,,,,
3/3/2014,3/8/2014,East,Office Supplies,Binders,25.32,5,126.6,9.1785,,,,,,,
3/3/2014,3/8/2014,East,Office Supplies,Labels,15.12,3,45.36,4.914,,,,,,,
3/3/2014,3/8/2014,East,Furniture,Bookcases,302.45,5,1512.25,-199.617,,,,,,,
3/3/2014,3/8/2014,East,Office Supplies,Storage,44.672,8,357.376,-10.0512,,,,,,,
3/4/2014,3/4/2014,South,Office Supplies,Storage,354.9,5,1774.5,17.745,,,,,,,
3/4/2014,3/9/2014,South,Office Supplies,Art,15.552,3,46.656,2.3328,,,,,,,
3/5/2014,3/8/2014,East,Office Supplies,Art,59.52,3,178.56,15.4752,,,,,,,
3/5/2014,3/8/2014,East,Technology,Accessories,479.97,3,1439.91,177.5889,,,,,,,
3/5/2014,3/8/2014,East,Office Supplies,Supplies,18.62,2,37.24,5.3998,,,,,,,
3/5/2014,3/8/2014,East,Office Supplies,Binders,49.632,6,297.792,16.7508,,,,,,,
3/5/2014,3/8/2014,East,Office Supplies,Paper,97.82,2,195.64,45.9754,,,,,,,
3/7/2014,3/8/2014,West,Furniture,Chairs,48.712,1,48.712,5.4801,,,,,,,
3/7/2014,3/8/2014,West,Office Supplies,Art,17.94,3,53.82,4.6644,,,,,,,
3/7/2014,3/8/2014,West,Office Supplies,Storage,242.94,3,728.82,4.8588,,,,,,,
3/7/2014,3/11/2014,West,Office Supplies,Binders,107.648,2,215.296,33.64,,,,,,,
3/7/2014,3/12/2014,West,Office Supplies,Art,20.65,5,103.25,9.499,,,,,,,
3/7/2014,3/12/2014,West,Office Supplies,Storage,204.9,5,1024.5,0,,,,,,,
3/7/2014,3/12/2014,West,Furniture,Chairs,436.704,6,2620.224,21.8352,,,,,,,
3/7/2014,3/12/2014,West,Furniture,Chairs,481.568,2,963.136,54.1764,,,,,,,
3/10/2014,3/14/2014,Central,Office Supplies,Paper,22.38,2,44.76,10.7424,,,,,,,
3/10/2014,3/17/2014,West,Office Supplies,Storage,636.408,3,1909.224,-15.9102,,,,,,,
3/10/2014,3/17/2014,West,Office Supplies,Art,83.168,4,332.672,9.3564,,,,,,,
3/11/2014,3/13/2014,South,Office Supplies,Appliances,146.76,3,440.28,38.1576,,,,,,,
3/11/2014,3/13/2014,South,Technology,Accessories,32.96,2,65.92,14.1728,,,,,,,
3/11/2014,3/13/2014,South,Technology,Phones,587.97,3,1763.91,164.6316,,,,,,,
3/11/2014,3/13/2014,South,Office Supplies,Paper,14.94,3,44.82,7.0218,,,,,,,
3/11/2014,3/14/2014,East,Office Supplies,Paper,108.92,14,1524.88,49.014,,,,,,,
3/11/2014,3/15/2014,West,Office Supplies,Art,7.98,3,23.94,2.0748,,,,,,,
3/11/2014,3/16/2014,East,Furniture,Furnishings,8.32,5,41.6,2.288,,,,,,,
3/11/2014,3/16/2014,East,Office Supplies,Fasteners,10.464,6,62.784,1.7004,,,,,,,
3/14/2014,3/17/2014,Central,Technology,Machines,574.91,2,1149.82,156.047,,,,,,,
3/14/2014,3/17/2014,Central,Office Supplies,Paper,8.448,2,16.896,2.64,,,,,,,
3/14/2014,3/18/2014,West,Office Supplies,Paper,10.56,2,21.12,4.752,,,,,,,
3/14/2014,3/18/2014,West,Office Supplies,Art,3.38,1,3.38,1.2506,,,,,,,
3/14/2014,3/18/2014,South,Office Supplies,Paper,91.056,6,546.336,31.8696,,,,,,,
3/14/2014,3/19/2014,South,Furniture,Chairs,1139.92,4,4559.68,284.98,,,,,,,
3/14/2014,3/19/2014,West,Office Supplies,Binders,33.088,4,132.352,11.1672,,,,,,,
3/14/2014,3/19/2014,West,Office Supplies,Storage,80.98,1,80.98,3.2392,,,,,,,
3/14/2014,3/19/2014,West,Technology,Accessories,82.8,12,993.6,6.624,,,,,,,
3/14/2014,3/19/2014,West,Office Supplies,Storage,21.36,2,42.72,5.7672,,,,,,,
3/14/2014,3/19/2014,West,Office Supplies,Binders,62.048,2,124.096,20.1656,,,,,,,
3/15/2014,3/19/2014,South,Office Supplies,Storage,142.776,1,142.776,17.847,,,,,,,
3/15/2014,3/19/2014,South,Furniture,Furnishings,45.696,3,137.088,5.1408,,,,,,,
3/15/2014,3/19/2014,South,Office Supplies,Binders,7.218,3,21.654,-5.5338,,,,,,,
3/15/2014,3/19/2014,South,Office Supplies,Binders,43.188,4,172.752,-31.6712,,,,,,,
3/15/2014,3/19/2014,South,Office Supplies,Paper,131.904,3,395.712,47.8152,,,,,,,
3/16/2014,3/21/2014,South,Technology,Phones,471.92,2,943.84,29.495,,,,,,,
3/17/2014,3/17/2014,Central,Office Supplies,Art,4.448,2,8.896,0.3336,,,,,,,
3/17/2014,3/17/2014,Central,Office Supplies,Paper,5.184,1,5.184,1.8792,,,,,,,
3/17/2014,3/17/2014,Central,Office Supplies,Paper,15.552,3,46.656,5.4432,,,,,,,
3/17/2014,3/20/2014,East,Office Supplies,Paper,126.624,6,759.744,41.1528,,,,,,,
3/17/2014,3/21/2014,East,Furniture,Tables,1579.746,7,11058.222,-447.5947,,,,,,,
3/17/2014,3/21/2014,East,Furniture,Tables,1071.576,4,4286.304,-553.6476,,,,,,,
3/17/2014,3/21/2014,East,Furniture,Tables,613.908,3,1841.724,-122.7816,,,,,,,
3/17/2014,3/21/2014,East,Office Supplies,Paper,34.86,7,244.02,16.3842,,,,,,,
3/17/2014,3/21/2014,East,Office Supplies,Paper,155.04,4,620.16,75.9696,,,,,,,
3/17/2014,3/21/2014,South,Office Supplies,Binders,11.43,3,34.29,5.3721,,,,,,,
3/17/2014,3/21/2014,South,Office Supplies,Binders,30.44,2,60.88,14.9156,,,,,,,
3/17/2014,3/21/2014,South,Office Supplies,Paper,12.96,2,25.92,6.3504,,,,,,,
3/17/2014,3/21/2014,South,Office Supplies,Paper,16,4,64,7.68,,,,,,,
3/17/2014,3/21/2014,South,Office Supplies,Appliances,32.67,3,98.01,8.4942,,,,,,,
3/17/2014,3/24/2014,Central,Office Supplies,Appliances,93.78,2,187.56,36.5742,,,,,,,
3/17/2014,3/24/2014,Central,Office Supplies,Paper,47.18,7,330.26,23.59,,,,,,,
3/17/2014,3/24/2014,Central,Office Supplies,Art,19.68,6,118.08,5.7072,,,,,,,
3/17/2014,3/24/2014,Central,Office Supplies,Binders,53.4,10,534,25.098,,,,,,,
3/17/2014,3/24/2014,Central,Office Supplies,Binders,35.88,6,215.28,17.2224,,,,,,,
3/18/2014,3/21/2014,West,Furniture,Bookcases,1198.33,10,11983.3,70.49,,,,,,,
3/18/2014,3/23/2014,South,Technology,Machines,821.3,4,3285.2,-16.426,,,,,,,
3/18/2014,3/23/2014,South,Technology,Machines,22638.48,6,135830.88,-1811.0784,,,,,,,
3/18/2014,3/23/2014,South,Office Supplies,Paper,21.376,4,85.504,7.4816,,,,,,,
3/18/2014,3/23/2014,South,Office Supplies,Art,8.016,3,24.048,1.002,,,,,,,
3/18/2014,3/23/2014,South,Furniture,Furnishings,30.768,2,61.536,8.0766,,,,,,,
3/18/2014,3/23/2014,South,Office Supplies,Fasteners,18.936,3,56.808,5.9175,,,,,,,
3/18/2014,3/23/2014,South,Furniture,Furnishings,122.352,3,367.056,15.294,,,,,,,
3/18/2014,3/24/2014,West,Furniture,Furnishings,111,2,222,14.43,,,,,,,
3/18/2014,3/24/2014,West,Technology,Machines,1279.968,4,5119.872,415.9896,,,,,,,
3/18/2014,3/24/2014,West,Office Supplies,Storage,1856.19,7,12993.33,334.1142,,,,,,,
3/19/2014,3/21/2014,South,Technology,Phones,323.976,3,971.928,28.3479,,,,,,,
3/19/2014,3/21/2014,South,Office Supplies,Labels,11.808,4,47.232,3.9852,,,,,,,
3/19/2014,3/21/2014,South,Office Supplies,Storage,26.16,3,78.48,1.962,,,,,,,
3/19/2014,3/21/2014,South,Office Supplies,Binders,33.57,5,167.85,-25.737,,,,,,,
3/19/2014,3/21/2014,South,Furniture,Furnishings,4.992,3,14.976,1.3728,,,,,,,
3/19/2014,3/21/2014,South,Furniture,Furnishings,20.016,3,60.048,5.5044,,,,,,,
3/19/2014,3/21/2014,South,Technology,Accessories,170.24,2,340.48,53.2,,,,,,,
3/21/2014,3/25/2014,East,Office Supplies,Art,7.408,2,14.816,1.2038,,,,,,,
3/21/2014,3/25/2014,East,Office Supplies,Art,6.048,3,18.144,1.5876,,,,,,,
3/21/2014,3/25/2014,South,Office Supplies,Storage,16.272,1,16.272,-3.8646,,,,,,,
3/21/2014,3/25/2014,South,Technology,Phones,3499.93,7,24499.51,909.9818,,,,,,,
3/21/2014,3/25/2014,South,Office Supplies,Labels,14.4,5,72,6.624,,,,,,,
3/21/2014,3/25/2014,South,Office Supplies,Paper,122.97,3,368.91,60.2553,,,,,,,
3/21/2014,3/25/2014,South,Office Supplies,Art,9.32,4,37.28,2.7028,,,,,,,
3/21/2014,3/25/2014,South,Office Supplies,Binders,122.94,3,368.82,59.0112,,,,,,,
3/21/2014,3/25/2014,South,Office Supplies,Labels,59.2,5,296,22.2,,,,,,,
3/21/2014,3/25/2014,South,Furniture,Furnishings,32.952,3,98.856,6.5904,,,,,,,
3/21/2014,3/25/2014,South,Furniture,Chairs,218.376,3,655.128,-10.9188,,,,,,,
3/22/2014,3/22/2014,Central,Office Supplies,Art,16.28,2,32.56,6.512,,,,,,,
3/22/2014,3/26/2014,South,Office Supplies,Binders,7.644,4,30.576,-5.8604,,,,,,,
3/22/2014,3/26/2014,South,Office Supplies,Binders,51.465,5,257.325,-39.4565,,,,,,,
3/22/2014,3/26/2014,West,Office Supplies,Paper,74.352,3,223.056,23.235,,,,,,,
3/22/2014,3/26/2014,West,Furniture,Chairs,314.352,3,943.056,-35.3646,,,,,,,
3/23/2014,3/26/2014,West,Office Supplies,Storage,330.4,2,660.8,85.904,,,,,,,
3/23/2014,3/26/2014,West,Technology,Phones,604.752,6,3628.512,37.797,,,,,,,
3/23/2014,3/26/2014,South,Office Supplies,Labels,9.912,3,29.736,3.2214,,,,,,,
3/24/2014,3/28/2014,East,Office Supplies,Paper,24.9,5,124.5,11.703,,,,,,,
3/24/2014,3/29/2014,West,Furniture,Furnishings,40.48,2,80.96,14.5728,,,,,,,
3/25/2014,3/30/2014,West,Office Supplies,Art,6.56,2,13.12,1.9024,,,,,,,
3/25/2014,3/30/2014,West,Office Supplies,Art,14.88,2,29.76,3.72,,,,,,,
3/25/2014,3/30/2014,West,Technology,Accessories,45.48,4,181.92,15.918,,,,,,,
3/25/2014,3/30/2014,West,Office Supplies,Art,25.44,6,152.64,9.9216,,,,,,,
3/25/2014,4/1/2014,East,Furniture,Chairs,366.786,7,2567.502,65.2064,,,,,,,
3/26/2014,3/30/2014,West,Technology,Accessories,66.3,3,198.9,8.619,,,,,,,
3/26/2014,3/30/2014,West,Office Supplies,Labels,18.75,5,93.75,9,,,,,,,
3/26/2014,3/31/2014,West,Office Supplies,Art,3.36,2,6.72,0.84,,,,,,,
3/26/2014,3/31/2014,West,Office Supplies,Binders,27.936,4,111.744,9.4284,,,,,,,
3/26/2014,3/31/2014,West,Technology,Phones,28.784,2,57.568,2.8784,,,,,,,
3/28/2014,4/1/2014,West,Technology,Phones,302.376,3,907.128,22.6782,,,,,,,
3/28/2014,4/2/2014,Central,Office Supplies,Envelopes,6.12,3,18.36,2.8764,,,,,,,
3/28/2014,4/2/2014,Central,Furniture,Tables,1184.72,4,4738.88,106.6248,,,,,,,
3/28/2014,4/3/2014,East,Furniture,Tables,330.588,1,330.588,-143.2548,,,,,,,
3/29/2014,4/2/2014,Central,Furniture,Tables,890.841,3,2672.523,-152.7156,,,,,,,
3/30/2014,3/31/2014,East,Office Supplies,Art,10.5,5,52.5,2.94,,,,,,,
3/30/2014,4/1/2014,Central,Office Supplies,Envelopes,335.72,5,1678.6,113.3055,,,,,,,
3/30/2014,4/1/2014,Central,Technology,Phones,251.944,7,1763.608,88.1804,,,,,,,
3/30/2014,4/1/2014,Central,Furniture,Chairs,127.302,7,891.114,-9.093,,,,,,,
3/30/2014,4/3/2014,East,Office Supplies,Art,49.65,5,248.25,20.853,,,,,,,
3/30/2014,4/4/2014,West,Office Supplies,Storage,15.84,3,47.52,0,,,,,,,
3/30/2014,4/4/2014,West,Office Supplies,Labels,44.4,3,133.2,22.2,,,,,,,
3/30/2014,4/4/2014,West,Furniture,Bookcases,205.666,2,411.332,-12.098,,,,,,,
3/30/2014,4/5/2014,Central,Office Supplies,Storage,129.3,2,258.6,6.465,,,,,,,
3/31/2014,3/31/2014,East,Office Supplies,Binders,0.852,1,0.852,-0.5964,,,,,,,
3/31/2014,3/31/2014,South,Furniture,Chairs,1125.488,7,7878.416,98.4802,,,,,,,
3/31/2014,3/31/2014,South,Office Supplies,Binders,12.645,5,63.225,-10.116,,,,,,,
3/31/2014,3/31/2014,South,Office Supplies,Art,4.032,2,8.064,1.0584,,,,,,,
3/31/2014,4/4/2014,Central,Office Supplies,Binders,8.134,7,56.938,-13.8278,,,,,,,
3/31/2014,4/4/2014,Central,Technology,Accessories,79.984,2,159.968,13.9972,,,,,,,
3/31/2014,4/4/2014,South,Office Supplies,Binders,1.869,1,1.869,-1.3083,,,,,,,
3/31/2014,4/5/2014,West,Office Supplies,Binders,673.568,2,1347.136,252.588,,,,,,,
3/31/2014,4/5/2014,West,Office Supplies,Appliances,52.98,2,105.96,14.8344,,,,,,,
